AQI Category,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
4,104,1,16,2,104
0,51,1,27,1,51
0,51,1,27,1,51
1,38,0,20,0,38
1,41,1,27,5,41
1,47,1,46,2,47
1,29,0,29,3,18
1,29,0,29,3,18
1,29,0,29,3,18
1,37,1,32,3,37
0,61,2,2,9,61
1,46,1,17,2,46
0,79,2,13,27,79
0,53,1,24,9,53
0,53,1,24,9,53
1,39,1,38,2,39
1,42,1,41,0,42
1,47,1,36,0,47
1,32,1,27,4,32
1,25,0,6,1,25
0,73,2,26,7,73
0,52,1,22,11,52
0,94,3,9,11,94
0,80,2,22,1,80
1,48,1,45,0,48
2,156,1,33,0,156
1,27,0,27,0,10
0,55,1,20,0,55
0,76,3,32,2,76
1,36,1,2,0,36
1,41,1,18,1,41
0,56,1,44,4,56
0,58,1,43,5,58
0,58,1,43,5,58
0,58,1,43,5,58
1,45,1,32,7,45
1,50,1,41,0,50
1,46,1,46,2,31
1,46,1,46,2,31
1,46,1,46,2,31
1,46,1,46,2,31
0,77,3,7,8,77
0,63,1,33,1,63
0,59,1,27,0,59
1,35,0,17,0,35
5,444,2,111,1,391
0,60,2,60,3,55
1,48,1,48,0,12
1,32,1,32,0,26
1,32,1,32,0,26
0,56,0,32,1,56
1,32,1,32,1,30
1,29,0,29,2,29
1,28,0,19,0,28
1,18,0,8,0,18
1,40,1,40,2,34
0,58,0,32,1,58
1,30,0,16,1,30
1,30,0,16,1,30
1,36,1,36,0,30
1,49,1,30,0,49
1,32,1,14,1,32
1,28,1,22,4,28
1,21,1,21,1,13
1,30,1,1,0,30
1,32,1,30,1,32
0,80,1,62,4,80
2,182,14,1,23,182
5,356,1,60,0,284
0,62,1,44,5,62
3,226,1,48,1,226
3,226,1,48,1,226
1,16,0,12,0,16
1,16,0,12,0,16
1,30,1,27,2,30
0,55,2,26,12,55
1,46,1,46,0,14
1,48,1,16,0,48
1,43,1,43,2,39
0,52,1,44,4,52
1,36,0,16,0,36
1,39,0,39,0,23
0,58,1,25,9,58
0,56,1,21,6,56
0,76,2,15,17,76
0,76,2,15,17,76
0,76,2,15,17,76
0,76,2,15,17,76
0,76,2,15,17,76
0,76,2,15,17,76
0,76,2,15,17,76
0,76,2,15,17,76
0,76,2,15,17,76
0,76,2,15,17,76
1,25,1,3,0,25
1,40,1,30,1,40
1,47,1,47,2,27
1,42,1,31,1,42
1,50,1,23,0,50
0,62,1,18,13,62
1,25,0,9,1,25
1,34,1,34,0,10
1,46,1,29,0,46
1,39,1,39,0,12
4,101,3,18,2,101
0,60,1,22,3,60
0,93,1,24,5,93
1,28,1,28,8,25
1,39,1,22,1,39
1,44,1,27,10,44
1,42,1,42,0,12
0,62,1,32,4,62
1,35,1,22,6,35
1,27,1,25,3,27
1,19,0,18,0,19
2,175,1,51,1,175
1,33,1,33,1,28
1,37,1,3,3,37
1,30,0,30,2,27
0,61,1,10,16,61
0,68,1,39,1,68
0,57,2,21,11,57
1,29,1,29,2,27
1,35,1,22,1,35
1,37,1,21,4,37
0,76,3,8,1,76
0,90,3,46,3,90
1,34,1,26,9,34
0,65,1,30,1,65
1,29,0,28,2,29
1,37,1,27,8,37
0,72,1,29,3,72
2,169,7,0,21,169
1,36,1,25,3,36
1,46,1,37,2,46
1,29,0,29,2,26
0,77,1,43,6,77
0,53,1,38,2,53
1,30,0,25,3,30
1,31,0,30,1,31
1,27,0,19,0,27
1,27,0,19,0,27
1,27,0,19,0,27
1,27,0,19,0,27
1,27,0,19,0,27
1,27,0,19,0,27
1,30,0,28,2,30
1,25,0,24,2,25
0,57,2,22,14,57
0,57,2,22,14,57
0,57,2,22,14,57
0,66,1,28,1,66
1,33,0,33,1,26
1,37,1,12,13,37
1,50,1,20,0,50
1,46,1,26,2,46
1,49,1,24,2,49
1,31,0,31,2,31
1,34,0,29,3,34
2,176,2,21,3,176
1,35,1,20,3,35
1,32,1,32,1,28
1,32,1,29,0,32
1,32,1,29,0,32
1,32,1,29,0,32
1,32,1,29,0,32
4,117,4,14,7,117
0,56,1,25,2,56
2,171,1,36,0,171
0,53,1,18,14,53
0,53,1,18,14,53
1,40,1,26,3,40
1,34,1,18,1,34
0,69,1,22,6,69
0,74,2,23,1,74
4,118,1,17,4,118
1,30,0,30,1,25
1,35,0,28,2,35
1,34,0,28,2,34
1,34,0,28,2,34
0,73,2,35,8,73
1,40,1,40,1,24
5,500,1,43,0,443
1,28,0,27,2,28
0,52,1,27,12,52
0,70,2,20,20,70
1,33,0,33,0,5
0,59,1,59,1,23
1,30,0,30,1,24
2,169,4,169,3,150
0,61,1,27,11,61
0,61,1,27,11,61
0,58,0,21,0,58
1,18,0,18,0,6
1,20,0,20,0,20
1,31,0,31,0,30
4,138,3,138,2,112
1,39,1,19,1,39
1,44,0,17,0,44
0,74,1,74,1,35
0,95,0,22,0,95
1,40,1,30,8,40
0,75,1,37,1,75
0,64,1,41,0,64
1,40,0,21,1,40
0,59,1,30,3,59
1,48,1,48,0,35
4,104,0,22,0,104
1,30,1,30,0,10
1,30,1,30,0,10
1,39,1,39,0,20
0,59,2,6,0,59
1,29,1,28,0,29
1,34,1,34,1,24
1,34,1,34,1,24
1,36,1,26,2,36
1,30,0,30,1,27
1,48,1,33,1,48
1,33,1,33,0,9
1,33,1,33,0,9
1,37,1,8,3,37
0,60,1,30,6,60
0,55,2,5,4,55
0,58,2,14,19,58
1,41,0,28,2,41
1,31,1,15,1,31
1,24,1,8,0,24
0,78,1,78,3,51
1,43,1,43,0,30
2,150,1,30,0,150
1,31,1,31,2,25
4,116,2,116,0,64
1,36,1,17,3,36
0,95,2,9,9,95
0,95,2,9,9,95
2,171,6,10,3,171
1,32,1,32,0,24
0,59,1,32,0,59
1,24,1,24,0,19
0,78,1,36,1,78
0,59,1,27,0,59
1,30,1,30,2,14
0,84,1,40,1,84
0,75,1,75,1,34
0,54,1,6,14,54
1,39,1,23,5,39
1,36,0,20,1,36
0,53,1,31,6,53
0,53,1,31,6,53
0,53,1,31,6,53
4,112,1,29,2,112
4,130,0,31,0,130
1,40,1,40,2,23
0,59,1,37,6,59
1,29,1,29,2,17
0,62,2,17,0,62
0,65,2,23,1,65
0,78,1,31,0,78
0,56,1,25,1,56
4,121,4,7,8,121
1,14,1,14,0,3
1,14,1,14,0,3
1,14,1,14,0,3
1,14,1,14,0,3
1,14,1,14,0,3
0,95,1,23,10,95
0,52,1,33,3,52
1,34,0,34,2,32
0,72,1,42,1,72
1,47,1,7,1,47
1,22,0,19,0,22
1,22,0,19,0,22
1,41,0,11,0,41
2,159,2,134,1,159
0,89,2,33,5,89
1,32,1,32,2,32
1,40,1,29,3,40
1,30,1,19,4,30
1,30,1,19,4,30
0,73,0,24,0,73
0,73,0,24,0,73
0,73,0,24,0,73
0,59,1,21,1,59
0,92,2,34,1,92
0,52,1,40,0,52
1,33,0,33,0,32
1,33,0,33,0,32
1,33,0,33,0,32
1,33,0,33,0,32
1,33,0,33,0,32
0,54,2,30,11,54
1,31,0,31,2,21
1,50,1,22,7,50
0,53,1,36,1,53
1,44,1,44,1,16
1,37,1,35,0,37
0,54,1,30,3,54
1,40,1,7,6,40
4,101,1,62,0,101
2,160,1,45,0,160
0,89,1,39,0,89
0,56,1,13,0,56
0,74,1,8,13,74
0,74,1,8,13,74
1,48,1,48,3,36
1,12,0,12,0,11
1,42,1,28,10,42
1,27,1,27,4,19
1,15,0,15,0,10
0,82,1,42,2,82
0,67,2,10,8,67
1,40,1,14,0,40
0,90,4,20,0,90
1,43,2,21,0,43
5,500,1,42,0,435
0,55,1,29,0,55
1,25,0,15,0,25
0,75,3,15,1,75
1,37,1,37,0,13
1,50,0,21,0,50
1,34,1,17,3,34
1,49,1,30,5,49
0,53,1,26,7,53
0,72,1,7,14,72
1,48,1,15,0,48
1,43,1,25,4,43
1,41,1,26,4,41
1,40,1,40,2,20
0,61,1,8,4,61
1,42,1,28,4,42
0,67,1,36,3,67
1,30,1,30,3,22
1,30,1,30,3,22
1,50,1,14,3,50
0,52,1,36,1,52
0,58,1,28,2,58
0,58,1,14,10,58
1,33,0,19,0,33
4,138,4,25,4,138
1,36,1,36,0,33
2,169,1,36,0,169
1,49,1,31,6,49
1,23,1,23,6,18
0,63,1,24,3,63
1,31,1,31,1,21
1,34,0,34,1,31
1,36,0,16,0,36
1,49,1,25,11,49
0,59,2,16,4,59
2,180,2,151,1,180
1,27,0,27,0,13
2,194,3,176,2,194
0,74,2,17,1,74
1,35,1,35,1,13
1,29,1,29,2,20
1,29,1,29,2,20
0,54,0,25,0,54
0,58,2,18,21,58
1,42,0,35,1,42
3,206,7,206,9,167
0,51,1,22,5,51
2,157,3,157,1,126
0,87,1,36,0,87
1,32,0,16,0,32
1,45,1,22,5,45
0,55,1,40,1,55
4,114,3,8,37,114
1,50,1,31,1,50
1,13,0,13,1,12
1,33,1,33,2,30
1,38,0,38,1,19
1,33,1,33,2,23
1,47,1,21,2,47
1,47,1,21,2,47
1,33,1,33,2,29
0,99,4,99,5,97
0,66,1,22,0,66
0,52,1,28,1,52
0,70,1,23,2,70
1,38,1,27,4,38
1,32,1,14,0,32
0,72,3,0,10,72
1,29,0,28,1,29
0,67,1,36,0,67
0,54,1,22,0,54
1,49,1,49,0,36
1,32,1,32,1,15
1,17,0,16,0,17
1,33,1,33,0,10
1,44,1,44,4,31
0,61,1,24,10,61
0,61,1,24,10,61
1,25,1,25,0,19
0,52,0,34,1,52
1,31,1,31,0,31
1,38,1,23,3,38
1,38,1,23,3,38
0,52,1,6,5,52
1,40,0,29,1,40
1,39,1,39,4,38
1,34,1,25,0,34
4,111,2,42,8,111
0,77,2,10,27,77
0,52,1,6,1,52
1,44,1,33,3,44
1,37,1,37,1,30
1,39,0,31,1,39
2,179,3,102,4,179
0,51,1,27,2,51
1,36,0,27,3,36
1,50,0,29,1,50
0,51,1,28,9,51
0,79,3,5,9,79
0,79,3,5,9,79
0,79,3,5,9,79
0,99,3,11,11,99
1,24,1,24,2,17
1,32,1,32,2,26
1,29,1,29,2,23
0,81,1,34,0,81
0,74,0,40,0,74
4,130,1,30,0,130
0,55,2,1,3,55
0,55,2,1,3,55
1,38,1,28,4,38
1,38,1,28,4,38
1,31,1,31,2,25
1,40,1,40,1,30
1,45,1,32,8,45
5,301,1,82,1,301
0,59,2,41,5,59
0,78,0,37,0,78
0,78,0,37,0,78
0,78,0,37,0,78
0,78,0,37,0,78
1,28,1,27,2,28
1,44,1,44,0,33
1,30,0,30,2,26
1,49,1,49,0,47
3,217,3,103,1,217
1,38,1,38,1,36
1,32,0,13,0,32
1,32,0,13,0,32
0,64,2,5,15,64
0,58,1,24,4,58
2,157,4,17,2,157
0,84,1,9,15,84
1,40,1,28,4,40
0,51,1,21,5,51
1,43,1,17,4,43
0,72,1,34,3,72
0,66,2,12,15,66
0,75,2,5,14,75
0,59,2,1,6,59
0,59,2,1,6,59
1,32,1,25,1,32
0,85,1,27,6,85
0,99,3,41,6,99
1,34,1,34,2,27
1,37,1,37,1,24
4,144,3,4,12,144
0,64,1,29,4,64
1,31,1,25,3,31
0,72,2,17,7,72
0,70,2,28,2,70
0,95,3,8,11,95
0,68,2,29,2,68
4,124,4,44,7,124
1,32,1,32,2,24
1,39,1,29,4,39
0,61,1,40,0,61
2,174,1,46,0,174
0,83,1,11,12,83
1,38,0,38,0,20
1,37,1,37,1,24
1,34,1,28,4,34
1,38,1,32,1,38
0,53,1,45,1,53
1,31,1,31,1,26
1,32,0,32,1,26
0,93,2,6,17,93
1,25,1,7,1,25
0,56,1,20,7,56
1,38,1,38,0,14
1,31,1,18,0,31
1,36,1,5,3,36
1,45,1,45,1,25
1,45,1,45,1,25
1,47,1,30,8,47
0,61,1,27,2,61
1,46,1,26,4,46
1,43,1,31,0,43
1,43,1,31,0,43
1,26,0,16,0,26
0,59,1,13,6,59
1,44,1,21,8,44
1,44,1,21,8,44
0,72,2,16,10,72
1,32,1,17,0,32
1,46,1,32,0,46
0,64,2,9,7,64
4,125,4,4,36,125
1,24,0,13,0,24
1,50,1,22,5,50
1,48,2,21,0,48
0,67,4,20,1,67
0,54,1,19,6,54
2,153,0,38,0,153
0,51,1,51,1,44
5,356,2,100,1,354
0,78,2,43,6,78
1,39,1,39,0,18
0,73,2,40,10,73
1,34,1,34,2,28
0,57,1,45,4,57
0,57,1,45,4,57
1,39,1,20,4,39
1,47,0,27,3,47
1,47,0,27,3,47
1,47,0,27,3,47
1,47,0,27,3,47
1,47,0,27,3,47
1,47,0,27,3,47
0,64,3,14,1,64
1,33,0,15,0,33
1,32,1,32,0,9
1,32,0,32,1,18
0,51,0,31,0,51
4,112,1,47,0,112
0,55,1,55,0,42
1,43,1,33,0,43
3,291,1,41,0,291
0,52,1,48,3,52
2,151,3,151,2,97
0,58,1,47,3,58
1,48,1,9,4,48
1,42,1,39,4,42
1,29,1,6,1,29
1,41,0,26,1,41
1,28,1,28,0,12
1,43,1,14,1,43
1,32,1,32,1,29
0,52,1,35,4,52
1,17,0,17,0,3
4,101,2,90,1,101
0,55,1,27,4,55
0,54,1,36,3,54
0,88,3,0,7,88
0,76,1,39,1,76
0,65,1,28,4,65
1,35,1,35,0,16
1,43,2,23,5,43
1,48,1,12,13,48
0,63,1,23,7,63
0,64,1,39,1,64
1,37,1,30,3,37
0,53,2,23,6,53
0,59,1,17,0,59
0,53,1,27,0,53
0,74,2,47,0,74
0,51,1,19,15,51
1,15,0,14,0,15
1,20,0,7,1,20
0,74,3,20,26,74
1,34,1,34,0,28
4,103,1,19,4,103
0,58,2,31,4,58
2,151,1,31,5,151
1,14,0,14,0,13
1,49,1,28,6,49
0,51,1,22,6,51
1,49,1,31,0,49
1,30,1,30,3,20
1,40,1,35,1,40
0,72,2,15,16,72
0,85,2,85,1,61
1,37,1,26,0,37
0,87,4,14,33,87
4,109,3,16,31,109
0,56,1,35,4,56
0,69,1,38,2,69
0,57,1,19,3,57
0,62,1,33,1,62
0,78,3,25,1,78
0,90,2,7,8,90
1,30,0,30,0,26
0,56,1,30,1,56
1,32,0,32,1,17
0,57,1,43,2,57
0,57,1,43,2,57
1,45,1,35,2,45
0,67,2,35,13,67
1,34,1,34,2,30
0,54,1,25,6,54
0,70,2,28,16,70
4,105,3,12,26,105
0,59,1,36,4,59
1,33,0,33,1,9
1,39,1,18,0,39
1,20,0,16,1,20
0,75,2,29,8,75
1,32,1,30,7,32
1,39,2,10,0,39
0,78,6,17,3,78
1,32,0,32,2,16
1,32,0,32,2,16
1,30,0,12,1,30
1,43,1,12,5,43
2,165,4,78,6,165
1,42,1,42,0,26
4,107,2,29,1,107
1,35,1,35,0,15
1,35,1,23,0,35
0,58,1,58,0,54
0,51,1,15,0,51
4,109,3,47,2,109
0,81,1,49,0,81
2,174,2,44,4,174
0,53,1,38,2,53
4,117,2,40,5,117
1,48,1,48,0,19
1,48,1,48,0,19
1,43,1,39,0,43
4,128,1,35,2,128
1,30,1,30,0,28
0,66,1,28,1,66
1,35,0,35,0,8
0,78,1,33,1,78
1,48,1,48,0,29
0,75,1,54,0,75
0,55,1,27,0,55
0,84,1,62,0,84
1,32,1,29,1,32
0,63,1,39,0,63
3,264,15,8,52,264
1,50,1,32,1,50
0,60,1,29,0,60
1,35,1,17,0,35
1,35,1,35,0,31
4,116,3,19,25,116
1,45,1,45,0,28
1,34,1,30,1,34
0,67,1,21,1,67
0,76,1,59,0,76
2,154,3,2,28,154
0,97,2,25,6,97
4,148,3,18,23,148
0,61,1,21,3,61
1,35,1,35,0,17
0,53,1,46,0,53
0,71,2,16,3,71
1,36,1,26,9,36
1,36,1,26,9,36
1,28,1,28,3,17
1,26,1,26,2,15
0,75,1,43,3,75
0,68,1,40,1,68
1,48,1,48,3,29
1,43,1,28,4,43
1,33,1,33,2,15
1,33,1,33,2,15
1,33,1,33,2,15
1,33,1,33,2,15
1,46,1,32,4,46
0,69,1,36,2,69
1,36,0,36,0,16
0,58,1,21,1,58
1,46,1,21,0,46
1,47,1,25,5,47
1,44,1,27,5,44
1,28,1,23,5,28
1,50,1,15,10,50
4,137,3,9,10,137
4,137,3,9,10,137
4,137,3,9,10,137
1,19,1,19,0,11
4,108,1,52,1,108
0,72,1,29,2,72
3,226,1,48,0,226
0,57,2,27,13,57
1,35,0,35,1,20
2,180,2,107,0,180
0,65,0,21,0,65
2,154,2,13,4,154
1,49,1,49,3,43
1,43,1,43,0,25
1,43,1,43,2,23
1,49,0,24,0,49
2,154,2,0,23,154
1,44,1,44,0,32
5,421,27,0,91,415
0,96,1,59,0,96
4,112,3,6,19,112
0,69,1,56,0,69
0,82,2,41,6,82
0,54,1,15,0,54
1,39,1,31,0,39
1,43,1,43,0,24
0,74,1,34,0,74
0,51,1,44,1,51
0,60,1,49,1,60
0,60,1,49,1,60
0,57,1,32,5,57
1,41,1,35,1,41
1,50,1,42,2,50
0,86,1,86,1,19
0,53,1,29,0,53
1,41,1,41,3,24
1,48,1,29,8,48
1,48,1,29,8,48
1,48,1,29,8,48
1,48,1,29,8,48
1,48,1,29,8,48
1,48,1,29,8,48
