AQI Category,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
2,159,5,5,12,159
1,47,1,47,2,45
4,106,1,19,3,106
1,34,1,29,5,34
1,31,1,31,4,28
1,31,1,31,4,28
1,48,2,37,9,48
1,24,1,0,2,24
1,22,0,17,1,22
1,42,1,42,1,42
1,31,1,31,1,26
1,31,0,31,2,15
1,25,1,17,1,25
1,25,1,17,1,25
1,25,1,25,0,16
4,110,4,4,35,110
0,60,2,31,7,60
0,73,2,23,14,73
4,137,2,26,4,137
2,160,3,67,2,160
0,54,1,45,0,54
1,34,1,34,0,5
0,60,1,43,0,60
0,66,1,54,0,66
0,63,1,40,0,63
4,126,3,6,23,126
0,59,1,8,3,59
1,42,1,42,0,22
0,77,2,32,6,77
0,66,1,58,0,66
0,70,2,10,3,70
0,54,1,49,0,54
0,58,1,44,2,58
1,35,1,35,0,17
0,69,1,32,2,69
1,31,1,31,0,10
0,84,1,20,4,84
0,66,1,6,3,66
1,42,1,42,0,15
4,118,1,31,3,118
0,85,3,22,19,85
0,85,3,22,19,85
0,85,3,22,19,85
0,85,3,22,19,85
0,85,3,22,19,85
1,42,1,39,3,42
1,34,1,34,0,4
0,63,1,53,0,63
1,33,0,33,1,28
1,50,1,34,6,50
0,71,2,30,6,71
0,71,2,30,6,71
0,52,1,24,0,52
0,52,1,24,0,52
0,52,1,24,0,52
0,52,1,24,0,52
0,78,2,49,1,78
0,71,2,8,0,71
0,96,1,41,0,96
0,52,1,20,0,52
1,32,1,32,5,29
0,56,1,50,0,56
1,46,1,37,4,46
1,46,1,37,4,46
1,45,1,36,1,45
0,62,1,21,0,62
0,63,1,50,0,63
4,102,2,12,1,102
1,49,1,49,0,43
1,34,1,34,0,24
0,53,1,40,2,53
1,50,1,20,15,50
1,50,1,20,15,50
1,36,1,33,2,36
2,173,1,36,0,173
0,55,1,30,2,55
1,32,1,32,0,23
1,36,2,34,5,36
0,71,2,2,5,71
0,71,2,2,5,71
0,71,2,2,5,71
1,39,1,39,0,32
2,192,1,36,0,192
2,159,4,159,4,108
2,159,4,159,4,108
0,62,1,48,4,62
0,70,1,54,0,70
1,50,1,30,3,50
0,51,1,32,8,51
1,34,0,15,1,34
0,71,1,71,1,47
2,181,11,12,8,181
0,61,1,15,11,61
0,87,4,5,39,87
0,87,4,5,39,87
0,87,4,5,39,87
0,87,4,5,39,87
0,87,4,5,39,87
1,14,0,6,0,14
1,14,0,6,0,14
1,14,0,6,0,14
1,14,0,6,0,14
1,14,0,6,0,14
0,70,1,38,2,70
1,34,0,34,1,17
0,56,2,5,11,56
0,56,2,5,11,56
0,56,2,5,11,56
0,58,1,15,7,58
0,58,1,15,7,58
0,58,1,15,7,58
0,58,1,15,7,58
1,20,0,16,0,20
1,20,0,16,0,20
1,20,0,16,0,20
0,62,1,59,0,62
2,176,3,114,1,176
1,48,1,22,0,48
1,29,0,29,0,19
1,49,1,19,0,49
0,64,1,32,1,64
1,36,0,36,0,18
0,68,2,34,6,68
0,68,2,34,6,68
0,68,2,34,6,68
0,68,2,34,6,68
0,68,2,34,6,68
2,193,9,16,29,193
0,60,1,27,0,60
0,60,1,27,0,60
1,39,1,39,0,27
0,87,1,41,0,87
2,164,2,57,2,164
0,91,1,47,0,91
1,47,1,38,2,47
2,180,4,101,6,180
1,46,1,46,0,44
0,60,2,33,5,60
1,43,1,43,0,18
0,70,1,46,0,70
1,44,1,44,0,37
0,55,1,43,0,55
4,127,3,13,1,127
1,50,1,39,2,50
0,69,1,46,1,69
1,24,1,16,0,24
1,38,1,38,0,18
1,43,1,43,0,28
0,53,1,18,5,53
1,43,1,28,0,43
1,43,1,28,0,43
1,43,1,28,0,43
1,43,1,28,0,43
1,26,0,26,1,12
1,41,1,41,0,14
0,54,1,43,0,54
1,40,1,35,1,40
0,64,1,52,0,64
0,67,1,67,0,45
1,24,0,24,1,11
1,25,1,11,0,25
0,77,1,33,1,77
1,49,1,38,1,49
0,55,1,30,3,55
0,55,1,30,3,55
0,72,1,72,1,56
0,59,0,25,2,59
1,41,1,24,0,41
3,220,10,9,23,220
0,57,1,27,0,57
0,94,4,2,4,94
1,30,0,24,0,30
1,38,1,38,0,23
0,68,1,28,0,68
0,90,1,66,0,90
0,74,1,74,0,27
0,52,1,46,2,52
0,52,1,46,2,52
0,52,1,46,2,52
0,52,1,46,2,52
0,57,1,39,0,57
1,43,1,18,0,43
0,89,1,29,1,89
1,44,1,41,0,44
1,34,1,34,4,30
1,24,0,24,1,11
0,65,2,23,1,65
0,51,1,12,11,51
1,50,2,31,14,50
4,132,2,42,9,132
1,33,1,33,0,14
1,32,1,32,0,4
1,39,1,39,2,38
0,74,2,34,3,74
1,38,1,15,6,38
0,62,1,43,0,62
1,35,0,27,1,35
0,75,2,5,8,75
4,131,2,18,4,131
0,84,2,4,0,84
0,67,1,33,4,67
1,30,0,30,0,29
1,18,0,18,0,2
1,45,1,32,7,45
0,63,1,21,5,63
1,25,1,5,3,25
1,35,1,12,0,35
1,35,1,26,0,35
0,89,1,19,0,89
1,50,1,33,8,50
0,63,2,26,8,63
1,48,1,15,3,48
1,46,1,46,1,29
1,28,0,19,1,28
4,117,2,42,9,117
0,62,1,22,0,62
1,35,1,35,3,20
0,67,1,16,8,67
0,55,1,28,4,55
1,39,1,39,2,30
1,41,1,41,1,26
0,59,1,12,15,59
0,59,1,12,15,59
1,36,1,36,3,36
1,24,0,17,3,24
0,84,3,16,10,84
2,179,4,179,2,175
0,64,1,48,1,64
0,64,1,48,1,64
1,18,0,7,0,18
1,36,1,21,1,36
0,55,1,43,1,55
1,21,0,11,0,21
0,63,2,19,14,63
0,63,2,19,14,63
1,41,1,30,0,41
4,121,4,0,5,121
0,58,1,37,2,58
0,68,1,35,1,68
0,51,1,25,0,51
0,59,1,32,0,59
0,74,1,39,1,74
1,38,1,1,0,38
4,100,4,3,6,100
1,34,1,4,1,34
1,48,1,42,2,48
1,49,1,11,4,49
0,64,2,18,5,64
1,23,0,23,2,22
0,77,2,23,7,77
0,70,2,20,10,70
0,55,1,14,17,55
1,40,1,9,4,40
1,20,0,16,3,20
0,71,1,29,3,71
0,97,1,56,0,97
0,64,1,45,0,64
0,57,1,50,0,57
1,35,1,35,0,13
0,53,1,25,7,53
1,38,1,23,3,38
0,69,1,61,0,69
0,81,1,35,0,81
0,56,1,41,1,56
1,41,1,34,1,41
0,51,1,44,0,51
1,44,1,18,1,44
0,61,1,51,0,61
0,61,1,51,0,61
0,54,1,40,4,54
3,264,9,2,17,264
4,106,2,41,1,106
0,96,3,23,13,96
0,96,3,23,13,96
1,28,0,20,0,28
1,48,1,39,1,48
1,44,1,39,1,44
1,24,1,14,0,24
0,55,1,55,1,52
2,169,3,66,4,169
1,47,1,32,1,47
1,49,1,49,1,14
1,25,0,25,4,13
4,143,4,4,23,143
4,143,4,4,23,143
4,143,4,4,23,143
0,55,1,34,1,55
0,55,1,34,1,55
2,198,10,3,24,198
1,25,0,25,0,23
1,39,1,25,0,39
0,54,1,47,0,54
4,117,3,17,26,117
4,117,3,17,26,117
1,26,1,5,0,26
0,59,1,58,0,59
1,30,0,25,0,30
0,68,1,68,0,61
3,281,15,6,59,281
0,93,2,14,5,93
0,72,1,20,1,72
0,72,1,20,1,72
0,52,1,20,0,52
0,90,1,19,0,90
0,55,1,27,0,55
0,54,1,45,0,54
0,54,1,29,0,54
1,39,1,32,7,39
1,34,1,34,1,8
1,41,1,26,6,41
0,56,1,48,0,56
0,84,1,28,0,84
1,11,0,11,0,5
0,82,1,46,0,82
1,48,1,3,0,48
1,31,1,18,0,31
1,41,1,41,1,20
1,46,1,38,1,46
0,68,1,67,0,68
1,40,1,27,0,40
0,85,2,26,1,85
0,66,1,54,0,66
1,45,1,18,1,45
1,33,1,10,1,33
0,63,1,12,4,63
0,63,1,63,0,48
0,54,1,30,0,54
0,61,1,28,3,61
0,61,1,28,3,61
0,54,1,48,0,54
1,38,1,38,0,38
1,43,1,43,0,25
0,64,1,39,0,64
0,55,1,26,3,55
0,55,1,24,0,55
0,65,1,60,0,65
2,189,2,126,0,189
0,59,2,25,4,59
0,59,2,25,4,59
0,53,1,30,5,53
0,65,1,25,2,65
0,62,1,38,1,62
0,62,1,38,1,62
0,62,1,38,1,62
1,30,1,30,0,19
1,30,1,30,0,19
1,25,0,13,0,25
1,44,1,44,1,20
0,70,1,19,6,70
0,53,2,24,0,53
0,68,2,27,8,68
0,67,1,38,0,67
0,68,2,47,0,68
0,75,2,9,4,75
0,71,2,52,11,71
1,34,1,28,1,34
1,48,1,30,6,48
1,30,0,9,2,30
0,55,1,37,4,55
3,212,14,21,17,212
0,61,1,28,6,61
1,50,1,37,3,50
0,52,2,37,8,52
0,66,2,24,9,66
0,55,1,45,0,55
0,62,1,34,3,62
0,51,1,18,4,51
1,46,1,17,0,46
0,58,1,43,0,58
0,60,1,21,5,60
0,53,1,48,0,53
0,68,2,3,5,68
0,76,1,43,0,76
0,76,2,36,7,76
0,76,2,36,7,76
0,76,2,36,7,76
0,76,2,36,7,76
0,76,2,36,7,76
0,76,2,36,7,76
0,64,1,35,3,64
1,50,1,36,3,50
0,58,1,10,15,58
1,38,1,19,0,38
1,38,1,19,0,38
0,68,1,34,1,68
1,41,1,17,0,41
0,59,1,27,5,59
1,34,1,34,1,17
1,30,1,26,5,30
1,30,1,26,5,30
1,17,0,11,2,17
1,17,0,11,2,17
0,55,1,21,2,55
1,50,1,23,5,50
0,54,1,18,6,54
1,45,1,14,12,45
4,129,4,3,35,129
0,63,1,37,2,63
1,33,1,33,3,19
0,83,2,31,13,83
1,35,0,24,0,35
0,56,1,23,9,56
0,65,2,65,0,49
1,29,0,29,1,24
0,67,1,63,1,67
1,15,0,1,1,15
1,44,1,44,1,43
1,44,1,44,1,43
1,31,1,31,0,23
0,51,1,29,3,51
0,71,1,40,1,71
0,51,1,34,2,51
2,172,9,18,12,172
1,45,1,24,0,45
1,41,1,33,2,41
0,69,1,40,1,69
1,34,1,34,1,19
1,24,1,24,0,3
0,61,1,19,6,61
1,47,1,38,2,47
1,43,1,12,8,43
1,43,1,12,8,43
1,43,1,12,8,43
0,71,1,27,5,71
4,117,4,20,1,117
1,41,1,41,3,32
1,41,1,41,3,32
1,41,1,41,3,32
1,41,1,41,3,32
1,41,1,41,3,32
1,41,1,41,3,32
1,42,1,42,2,27
1,50,1,24,3,50
1,50,1,35,1,50
1,33,0,33,1,23
0,98,1,36,5,98
0,74,2,51,0,74
1,34,0,34,0,33
1,29,1,29,0,16
4,127,3,127,3,114
0,99,1,32,2,99
1,34,1,16,0,34
1,34,1,16,0,34
2,156,2,156,2,84
1,37,1,19,1,37
1,34,1,34,1,25
1,31,0,31,2,16
1,30,1,18,2,30
1,30,1,18,2,30
0,77,2,6,22,77
1,30,0,30,0,11
0,57,2,36,10,57
0,57,2,36,10,57
0,57,2,36,10,57
0,57,2,36,10,57
0,57,2,36,10,57
0,57,2,36,10,57
1,47,1,28,9,47
0,65,1,12,18,65
1,33,1,23,1,33
0,53,1,38,9,53
0,56,1,22,13,56
0,51,0,21,0,51
0,63,1,34,0,63
2,152,1,34,0,152
1,50,1,31,1,50
1,33,0,33,0,32
0,63,1,24,1,63
1,32,1,32,1,16
1,49,1,49,3,22
0,60,0,28,0,60
0,53,1,28,6,53
0,52,1,22,7,52
5,500,1,44,2,446
5,500,1,44,2,446
1,39,1,24,4,39
4,138,4,3,30,138
1,40,1,26,2,40
1,31,0,30,0,31
1,31,0,30,0,31
1,31,0,30,0,31
0,73,1,73,0,68
1,34,1,28,2,34
1,40,1,29,4,40
0,73,3,39,2,73
0,77,2,14,7,77
0,77,2,14,7,77
0,77,2,14,7,77
0,77,2,14,7,77
0,77,2,14,7,77
0,57,1,43,5,57
5,500,133,0,53,500
5,500,133,0,53,500
5,500,133,0,53,500
0,56,0,31,1,56
0,56,0,31,1,56
0,56,0,31,1,56
0,81,1,40,0,81
1,37,1,37,1,22
0,54,1,25,4,54
1,39,1,26,6,39
0,57,1,25,6,57
1,33,1,32,3,33
1,32,0,32,1,28
1,43,1,43,1,32
1,41,1,40,3,41
0,82,3,35,8,82
0,51,1,44,5,51
4,149,2,10,6,149
0,61,1,61,1,42
1,35,1,35,2,20
1,33,0,25,1,33
1,31,0,31,1,26
0,55,1,9,18,55
1,35,0,27,1,35
1,37,1,37,1,35
0,95,1,26,1,95
1,30,1,10,1,30
1,42,1,28,8,42
1,42,1,28,8,42
1,42,1,28,8,42
1,42,1,28,8,42
1,42,1,28,8,42
1,34,1,29,2,34
1,41,1,41,2,39
1,28,1,27,2,28
0,51,1,6,3,51
0,51,1,6,3,51
0,51,1,6,3,51
0,51,1,6,3,51
0,51,1,6,3,51
0,51,1,6,3,51
0,54,1,20,5,54
1,43,1,43,3,42
4,124,4,0,11,124
1,29,0,29,2,20
4,110,4,12,2,110
1,49,1,22,4,49
2,183,4,12,16,183
1,34,0,34,1,34
1,43,1,30,5,43
1,36,1,36,0,35
0,64,2,15,20,64
1,36,1,36,0,34
1,28,1,28,4,25
0,59,1,27,1,59
2,169,3,169,3,104
1,35,1,18,4,35
0,81,2,10,8,81
1,21,0,17,0,21
4,116,2,31,5,116
1,30,1,30,2,27
0,52,1,6,4,52
1,23,0,15,0,23
0,57,1,28,3,57
1,40,1,30,5,40
1,30,1,18,7,30
2,159,4,128,1,159
0,57,1,22,0,57
1,37,0,17,0,37
4,142,2,142,1,139
1,42,1,13,0,42
0,67,2,22,0,67
2,177,3,163,2,177
1,29,0,29,1,5
0,76,2,72,1,76
0,65,1,38,1,65
1,43,1,43,4,38
0,52,1,29,1,52
0,52,1,29,1,52
0,57,2,30,5,57
1,36,1,36,1,34
0,88,2,30,6,88
5,500,1,41,0,500
1,32,1,29,0,32
0,63,2,22,11,63
3,206,5,206,4,150
3,206,5,206,4,150
1,46,1,46,0,23
0,52,1,23,0,52
0,52,1,23,0,52
0,52,1,23,0,52
0,52,1,23,0,52
1,35,1,24,3,35
2,200,5,200,4,155
1,35,1,35,0,32
1,43,1,43,2,39
3,217,1,44,0,217
0,54,1,10,3,54
1,47,1,21,10,47
0,59,2,13,9,59
0,53,1,5,1,53
0,87,2,15,10,87
2,163,5,163,4,136
1,48,1,48,1,24
1,26,0,26,0,12
1,49,1,23,1,49
1,49,1,23,1,49
1,49,1,23,1,49
1,49,1,23,1,49
1,49,1,23,1,49
1,50,1,38,4,50
1,50,1,38,4,50
1,50,1,38,4,50
1,50,1,38,4,50
1,50,1,38,4,50
1,50,1,38,4,50
4,147,1,50,0,147
1,32,1,6,4,32
1,32,1,6,4,32
2,156,1,36,0,156
1,34,1,34,1,6
0,64,1,46,0,64
1,44,1,3,4,44
1,36,1,24,2,36
1,43,1,43,2,36
0,66,0,22,0,66
0,58,2,19,8,58
0,59,2,1,5,59
1,28,0,26,2,28
0,68,0,26,0,68
1,34,1,34,0,27
2,153,7,6,9,153
1,30,0,30,1,26
1,45,1,43,2,45
1,34,1,15,10,34
1,34,1,15,10,34
1,34,1,15,10,34
1,34,1,15,10,34
1,34,1,15,10,34
1,34,1,15,10,34
1,34,1,15,10,34
1,42,1,42,2,36
0,52,1,22,13,52
1,46,0,30,2,46
2,175,6,175,6,157
4,122,3,93,6,122
4,133,4,133,4,122
0,95,3,46,2,95
0,58,0,31,0,58
4,124,1,36,0,124
1,50,2,9,1,50
0,52,1,37,0,52
2,155,2,155,1,83
1,45,1,16,4,45
2,181,5,181,11,151
0,58,1,31,2,58
0,79,3,8,10,79
0,79,3,8,10,79
0,79,3,8,10,79
1,47,1,34,1,47
1,29,1,29,1,12
1,36,1,36,3,36
0,54,1,35,0,54
0,51,1,31,8,51
1,50,1,23,9,50
1,38,1,26,3,38
0,55,1,22,10,55
0,56,1,46,4,56
1,32,0,28,1,32
1,34,1,31,1,34
0,51,1,14,4,51
0,63,1,5,3,63
1,35,1,35,1,27
1,46,1,31,7,46
1,38,1,38,0,25
0,52,2,13,0,52
1,38,1,27,4,38
1,44,0,22,0,44
1,46,1,21,4,46
0,55,1,55,2,18
1,41,1,30,5,41
1,48,0,24,0,48
1,32,1,27,4,32
0,58,2,30,13,58
1,37,0,33,1,37
1,44,1,38,3,44
1,44,1,38,3,44
1,44,1,38,3,44
1,44,1,38,3,44
1,44,1,38,3,44
1,44,1,38,3,44
1,44,1,38,3,44
1,30,1,16,2,30
2,176,4,155,1,176
0,52,1,40,2,52
0,52,1,27,6,52
0,66,2,17,20,66
0,63,1,30,5,63
1,28,1,28,2,27
1,42,1,42,1,36
0,60,2,27,8,60
1,48,0,30,1,48
1,48,0,30,1,48
0,68,1,44,5,68
1,30,1,28,3,30
0,53,1,41,0,53
1,36,1,36,1,25
1,34,1,34,2,33
1,46,1,24,0,46
2,152,0,38,0,152
0,65,1,35,0,65
5,324,2,150,1,324
5,324,2,150,1,324
5,324,2,150,1,324
0,62,2,8,0,62
3,290,2,99,1,283
1,39,1,39,0,35
1,34,1,34,2,20
1,36,1,5,2,36
0,60,1,12,0,60
0,51,1,10,15,51
1,35,1,35,2,25
0,61,0,31,0,61
1,29,0,29,2,22
1,47,1,39,1,47
4,119,4,6,36,119
4,106,3,2,8,106
1,23,0,23,0,23
4,123,15,20,12,123
1,39,1,28,4,39
1,39,1,28,4,39
1,39,1,28,4,39
1,39,1,28,4,39
1,39,1,28,4,39
1,42,1,34,1,42
3,265,4,166,1,265
2,162,1,92,2,162
1,40,0,40,0,23
3,275,2,112,1,275
1,36,1,18,0,36
1,41,1,41,1,33
2,153,1,47,0,153
2,153,1,47,0,153
1,43,1,23,5,43
1,41,1,35,6,41
1,30,0,30,1,29
2,165,1,109,1,165
1,29,0,29,1,24
1,50,1,43,0,50
1,46,2,11,0,46
1,24,0,11,0,24
1,24,0,11,0,24
1,24,0,11,0,24
1,24,0,11,0,24
1,24,0,11,0,24
1,38,1,28,4,38
0,70,0,25,0,70
1,36,1,23,4,36
1,31,1,29,3,31
1,35,0,35,1,26
4,128,5,0,8,128
0,61,2,4,4,61
1,29,1,29,0,18
0,58,1,23,0,58
1,30,0,30,1,29
0,78,2,11,27,78
0,54,1,19,0,54
1,50,0,23,0,50
0,70,1,7,9,70
1,35,1,35,1,19
1,37,1,6,1,37
0,81,1,21,0,81
1,47,1,7,7,47
0,58,1,39,1,58
0,54,1,36,2,54
1,50,1,32,4,50
1,37,1,37,1,23
1,11,0,11,1,4
0,60,1,41,5,60
0,66,2,7,17,66
1,50,1,12,4,50
1,37,1,32,3,37
0,86,1,21,2,86
1,43,1,43,1,16
0,55,1,41,0,55
4,146,5,0,13,146
4,146,5,0,13,146
0,53,1,31,0,53
1,27,0,12,1,27
1,33,1,19,9,33
0,53,0,37,0,53
0,53,0,37,0,53
1,40,1,38,3,40
1,40,1,38,3,40
1,48,1,24,2,48
1,40,1,24,2,40
1,40,1,20,3,40
1,35,1,30,3,35
1,47,0,23,0,47
0,63,1,22,5,63
0,53,1,23,5,53
2,185,1,78,1,185
1,40,0,31,2,40
4,134,0,23,0,134
1,39,0,25,0,39
1,36,0,33,1,36
0,51,1,43,0,51
0,56,2,3,4,56
0,56,2,3,4,56
0,56,2,3,4,56
0,56,2,3,4,56
0,56,2,3,4,56
0,56,2,3,4,56
1,32,0,32,1,25
1,49,1,49,1,30
0,77,1,19,0,77
0,73,1,28,4,73
0,61,1,33,3,61
0,69,2,23,9,69
1,27,0,27,2,26
1,38,1,30,1,38
1,31,1,31,0,29
1,46,1,14,2,46
0,65,1,23,2,65
1,38,0,38,0,19
1,29,1,29,2,27
1,28,0,14,1,28
0,51,1,29,7,51
0,65,1,40,0,65
0,65,1,40,0,65
0,54,1,31,1,54
0,65,2,11,5,65
1,35,0,35,0,22
0,56,2,10,15,56
0,56,2,10,15,56
4,136,4,5,34,136
0,71,2,3,6,71
4,103,4,7,11,103
1,31,1,20,5,31
0,81,2,10,0,81
1,44,1,29,2,44
1,50,1,19,4,50
0,58,1,38,1,58
1,34,0,17,0,34
1,32,0,18,1,32
1,36,1,36,1,24
1,36,1,36,1,25
1,34,1,34,2,20
1,14,1,4,0,14
0,54,1,33,1,54
1,38,1,33,1,38
1,35,1,32,0,35
0,55,1,43,1,55
0,71,2,23,3,71
2,152,1,37,0,152
1,39,1,24,0,39
0,51,1,51,0,49
0,78,1,31,0,78
2,161,2,32,3,161
0,64,1,64,0,48
1,30,0,26,1,30
1,16,0,11,0,16
1,16,0,11,0,16
0,52,0,18,0,52
1,35,1,27,1,35
1,38,1,38,0,28
2,172,4,76,6,172
2,168,4,39,9,168
0,87,2,18,5,87
1,32,1,32,0,23
3,230,1,34,3,230
1,41,1,41,0,11
0,52,1,52,1,40
0,64,1,29,0,64
0,53,1,26,4,53
1,42,1,42,0,13
4,130,1,46,0,130
0,69,0,30,0,69
1,37,1,37,0,21
1,29,0,27,1,29
0,71,2,27,7,71
1,34,1,34,0,20
2,163,4,39,5,163
0,75,1,75,0,38
0,51,1,51,0,34
1,44,1,26,0,44
0,52,1,52,1,50
1,49,1,49,0,42
1,49,1,49,0,42
1,38,1,38,0,37
1,41,1,41,0,28
1,50,1,24,0,50
0,83,1,22,0,83
1,39,1,39,0,37
1,32,0,16,0,32
4,106,2,33,7,106
0,55,1,35,4,55
0,55,1,55,0,51
0,52,1,40,0,52
2,195,2,39,5,195
0,54,1,25,2,54
1,49,1,49,4,39
0,83,2,30,6,83
1,50,1,48,2,50
0,76,2,22,7,76
1,37,1,37,0,19
1,38,1,26,0,38
1,40,1,40,0,8
1,32,1,24,0,32
1,40,1,30,0,40
0,55,1,37,3,55
0,54,2,18,10,54
1,33,1,29,0,33
0,54,1,47,0,54
0,54,1,21,0,54
0,62,1,43,0,62
0,80,1,80,0,37
0,78,1,57,0,78
1,41,1,41,0,19
0,52,1,39,1,52
1,31,0,25,1,31
0,62,1,62,1,14
0,61,1,28,6,61
0,66,1,58,0,66
1,39,1,23,1,39
1,40,1,33,1,40
0,87,1,61,0,87
1,47,1,47,0,25
0,89,1,50,0,89
0,55,1,45,1,55
0,55,1,45,1,55
0,55,1,45,1,55
1,44,1,40,1,44
1,44,1,40,1,44
1,44,1,40,1,44
1,44,1,40,1,44
4,100,1,40,0,100
0,68,2,42,0,68
4,109,3,9,12,109
0,51,1,37,2,51
0,55,1,47,0,55
1,36,1,36,0,28
0,51,1,26,1,51
2,152,4,22,9,152
0,61,1,22,10,61
1,49,1,49,1,29
1,49,1,49,1,29
0,77,1,43,3,77
0,59,1,21,2,59
0,57,1,26,1,57
0,57,1,26,1,57
0,57,1,26,1,57
2,156,1,30,2,156
1,30,0,30,0,27
0,82,1,68,0,82
0,69,1,46,1,69
1,24,0,24,0,11
1,24,0,24,0,11
1,37,1,30,8,37
0,86,2,15,12,86
0,86,2,24,8,86
4,145,4,49,21,145
2,153,5,76,16,153
0,53,1,25,0,53
0,84,3,20,2,84
1,50,1,39,2,50
1,45,1,41,1,45
1,41,1,41,0,18
1,35,1,35,0,11
1,50,1,50,1,27
1,50,1,50,1,27
0,52,1,46,2,52
0,52,1,46,2,52
0,62,1,62,0,57
1,50,1,43,0,50
0,94,3,22,13,94
0,71,1,32,7,71
1,42,1,12,0,42
1,35,1,32,0,35
0,54,1,40,4,54
2,166,1,22,0,166
1,39,1,39,1,31
1,40,1,40,0,17
4,105,2,10,7,105
0,60,1,33,2,60
0,60,1,33,2,60
0,60,1,33,2,60
1,43,1,43,0,14
1,42,1,42,1,18
1,30,1,30,0,24
0,98,2,46,0,98
1,32,1,32,0,10
0,64,1,28,2,64
1,33,1,33,0,19
1,33,1,33,0,19
0,69,1,51,0,69
2,156,4,45,8,156
0,67,1,54,0,67
1,49,1,26,1,49
1,49,1,26,1,49
0,55,1,48,0,55
0,51,1,22,4,51
0,76,1,38,2,76
0,73,1,73,3,33
1,22,0,14,0,22
0,72,2,8,5,72
1,35,1,35,0,31
0,69,1,69,3,29
0,90,2,61,0,90
1,50,1,29,6,50
1,50,1,41,3,50
1,41,0,41,0,8
0,58,1,28,0,58
1,39,1,39,2,27
1,35,1,35,0,29
1,47,1,47,1,36
1,40,1,40,0,22
0,96,1,64,0,96
0,55,1,34,1,55
0,55,1,34,1,55
0,55,1,34,1,55
0,79,1,18,0,79
0,62,1,22,0,62
0,62,1,22,0,62
0,63,1,31,3,63
0,85,2,25,19,85
0,85,2,25,19,85
0,52,1,44,3,52
1,46,1,46,0,42
0,61,2,21,0,61
0,51,1,19,2,51
0,51,1,42,1,51
0,60,1,56,0,60
0,58,1,12,0,58
0,67,1,56,0,67
1,47,1,17,2,47
0,53,1,48,0,53
0,51,1,46,2,51
1,48,2,48,4,42
1,30,0,26,1,30
1,34,1,34,1,30
1,34,1,34,1,30
0,54,1,47,0,54
0,58,2,22,9,58
1,46,1,46,3,38
0,60,1,31,1,60
0,60,1,31,1,60
0,57,1,52,0,57
1,45,1,45,0,30
0,64,1,64,3,26
0,64,1,64,3,26
0,64,1,64,3,26
0,61,1,36,1,61
1,45,1,45,1,42
0,63,1,53,1,63
4,119,3,44,4,119
3,207,11,3,49,207
1,27,1,27,1,24
1,38,1,38,1,16
1,30,1,30,3,29
1,28,1,22,0,28
1,34,0,17,0,34
1,46,1,46,0,24
1,22,1,21,2,22
1,45,1,20,0,45
0,59,1,36,2,59
1,35,1,35,1,33
0,51,1,22,9,51
0,51,1,22,9,51
0,51,1,22,9,51
0,51,1,22,9,51
0,51,1,22,9,51
0,51,1,22,9,51
0,51,1,22,9,51
0,51,1,22,9,51
0,51,1,22,9,51
0,51,1,22,9,51
0,84,2,11,6,84
0,78,2,3,7,78
4,134,1,20,1,134
0,58,1,18,14,58
0,60,1,44,2,60
1,33,1,33,2,22
1,33,1,31,8,33
0,71,2,25,9,71
0,56,1,9,1,56
1,14,1,12,3,14
1,14,1,12,3,14
1,46,1,29,8,46
1,46,1,29,8,46
0,64,2,12,20,64
1,37,1,5,2,37
0,71,2,53,0,71
0,77,3,8,31,77
0,77,3,8,31,77
0,77,3,8,31,77
0,59,1,36,4,59
0,63,2,25,7,63
0,85,3,6,22,85
4,142,2,13,3,142
0,74,1,32,4,74
0,93,3,8,30,93
1,20,1,9,2,20
0,93,1,38,0,93
1,37,0,9,2,37
1,17,0,17,0,17
2,166,1,21,2,166
0,73,0,25,0,73
4,130,2,130,0,74
1,42,1,42,3,26
1,38,0,38,0,36
1,44,1,27,4,44
1,30,1,30,4,23
1,30,1,30,4,23
1,30,1,30,4,23
4,137,3,4,15,137
1,37,0,33,0,37
1,37,1,37,0,14
1,37,1,37,0,14
0,57,2,17,0,57
0,57,1,20,6,57
1,43,1,43,4,35
0,51,1,24,4,51
4,110,2,11,3,110
4,110,2,11,3,110
0,86,1,18,3,86
1,31,1,31,1,21
0,58,1,25,5,58
1,32,1,32,1,28
1,41,2,13,0,41
0,65,2,34,7,65
4,119,3,10,33,119
1,30,1,30,2,26
0,73,1,37,5,73
0,52,1,11,3,52
0,52,1,11,3,52
0,52,1,42,3,52
0,58,2,29,3,58
1,39,2,39,6,39
0,59,2,36,5,59
0,54,1,12,1,54
0,67,1,40,1,67
0,67,1,40,1,67
0,69,1,37,2,69
0,51,1,42,4,51
1,34,1,30,1,34
1,39,1,9,3,39
0,64,1,35,2,64
1,20,0,20,0,12
0,60,1,36,3,60
0,60,1,36,3,60
1,39,0,20,0,39
0,56,1,38,4,56
1,32,1,18,4,32
0,88,3,1,6,88
0,52,1,22,0,52
0,87,0,28,1,87
1,48,1,21,12,48
0,71,1,8,17,71
1,22,0,21,0,22
0,61,0,26,0,61
0,52,1,8,1,52
1,36,1,36,5,17
0,78,2,11,5,78
0,57,2,23,14,57
0,58,1,26,7,58
2,156,1,29,0,156
0,68,2,27,10,68
1,14,0,14,0,13
0,65,1,21,6,65
0,66,1,20,4,66
